n age vac state e cov waning impact impact_low impact_hi irr irr_low irr_hi AsurpE
1 12 E_p S 0.8 0.7 10 6.263439 4.011645 9.894343 21.244255 15.144177 31.220132 0
2 12 E_p S 0.8 0.7 20 7.034939 4.526634 11.047199 24.904201 17.861787 36.086166 0
3 12 E_p L 0.8 0.7 10 0 0 0 0 0 0 0
4 12 E_p L 0.8 0.7 20 0 0 0 0 0 0 0
5 12 E_p LR 0.8 0.7 10 0 0 0 0 0 0 0
6 12 E_p LR 0.8 0.7 20 0 0 0 0 0 0 0
7 12 E_p SLR 0.8 0.7 10 6.263439 4.011645 9.894343 21.244255 15.144177 31.220132 0
8 12 E_p SLR 0.8 0.7 20 7.034939 4.526634 11.047199 24.904201 17.861787 36.086166 0
1 12 E_q S 0.8 0.7 10 0.063693 0.028952 0.129306 0.309241 0.158941 0.584604 0
2 12 E_q S 0.8 0.7 20 0.082455 0.037643 0.168275 0.438419 0.225421 0.82123 0
3 12 E_q L 0.8 0.7 10 0.483256 0.22673 0.867052 1.769171 0.968518 2.970663 0
4 12 E_q L 0.8 0.7 20 0.556704 0.261584 1.000073 2.154166 1.172418 3.629399 0
5 12 E_q LR 0.8 0.7 10 0.567732 0.261672 1.022481 2.076299 1.137909 3.482707 0
6 12 E_q LR 0.8 0.7 20 0.653435 0.301479 1.173097 2.5189 1.377611 4.244143 0
7 12 E_q SLR 0.8 0.7 10 0.62658 0.29085 1.145424 2.365629 1.276773 3.968508 0
8 12 E_q SLR 0.8 0.7 20 0.730474 0.337781 1.336874 2.935258 1.588617 4.95005 0
1 12 E_rl S 0.8 0.7 10 0.171658 0.120364 0.266351 0.741999 0.528249 1.066305 0
2 12 E_rl S 0.8 0.7 20 0.219892 0.154072 0.340269 1.043526 0.746981 1.487466 0
3 12 E_rl L 0.8 0.7 10 2.027961 1.644324 2.399901 6.473695 4.879374 8.153614 0
4 12 E_rl L 0.8 0.7 20 2.243511 1.820554 2.660619 7.504075 5.649203 9.486322 0
5 12 E_rl LR 0.8 0.7 10 2.027961 1.644324 2.399901 6.473695 4.879374 8.153614 0
6 12 E_rl LR 0.8 0.7 20 2.243511 1.820554 2.660619 7.504075 5.649203 9.486322 0
7 12 E_rl SLR 0.8 0.7 10 2.195134 1.819956 2.570008 7.207685 5.659292 8.908323 0
8 12 E_rl SLR 0.8 0.7 20 2.458909 2.038823 2.887218 8.523709 6.716443 10.553527 0
1 12 E_relapse S 0.8 0.7 10 0.023211 0.013769 0.040341 0.092566 0.053874 0.159531 0
2 12 E_relapse S 0.8 0.7 20 0.030761 0.018166 0.053176 0.138619 0.083844 0.232773 0
3 12 E_relapse L 0.8 0.7 10 0.01193 0.008154 0.016367 0.040734 0.023297 0.060358 0
4 12 E_relapse L 0.8 0.7 20 0.014539 0.009971 0.01987 0.054895 0.033228 0.081421 0
5 12 E_relapse LR 0.8 0.7 10 0.328641 0.227594 0.426891 0.838685 0.42698 1.242633 0
6 12 E_relapse LR 0.8 0.7 20 0.368385 0.258229 0.480006 1.010384 0.544824 1.482259 0
7 12 E_relapse SLR 0.8 0.7 10 0.35321 0.249108 0.457091 0.929197 0.492978 1.325066 0
8 12 E_relapse SLR 0.8 0.7 20 0.400377 0.286742 0.52007 1.151656 0.645767 1.613215 0
1 12 All S 0.8 0.7 10 6.463667 4.171956 10.135565 22.102826 15.825249 32.172048 0
2 12 All S 0.8 0.7 20 7.298241 4.726289 11.333953 26.020331 18.918078 37.293594 0
3 12 All L 0.8 0.7 10 2.511962 1.936325 3.000157 8.266147 6.441553 10.170931 0
4 12 All L 0.8 0.7 20 2.800762 2.153936 3.354013 9.659491 7.515652 11.934635 0
5 12 All LR 0.8 0.7 10 2.908824 2.249006 3.468086 9.31994 7.283839 11.590309 0
6 12 All LR 0.8 0.7 20 3.245598 2.505486 3.894343 10.907108 8.515317 13.623016 0
7 12 All SLR 0.8 0.7 10 8.896075 6.452995 12.283438 30.013379 24.19413 38.294043 0
8 12 All SLR 0.8 0.7 20 9.922448 7.218345 13.615279 34.897599 28.290002 43.664139 0
